Company Name,Ticker,Fiscal Year,Revenue Group (Reportable Segment),Revenue Line,Line Item description (company language),Revenue ($m)
Alphabet Inc.,GOOGL,2024,Google Services,"Google subscriptions, platforms, and devices","Google subscriptions, platforms, and devices revenues are comprised of consumer subscriptions (primarily from YouTube services such as YouTube TV, YouTube Music and Premium, NFL Sunday Ticket, and Google One), platforms (primarily revenues from Google Play sales of apps and in-app purchases), devices (sales of the Pixel family of devices), and other products and services.",40340.0
Alphabet Inc.,GOOGL,2024,Google Services,YouTube ads,"YouTube ads revenue consists of advertising revenues generated from YouTube, including brand advertising products and direct response advertising products, both of which benefited from increased advertiser spending.",36147.0
Alphabet Inc.,GOOGL,2024,Google Services,Google Network,"Google Network revenues are part of Google advertising revenues within Google Services, but the specific components or nature of Google Network are not detailed in the provided chunks.",30359.0
Alphabet Inc.,GOOGL,2024,Other Bets,Other Bets,"Other Bets is a combination of multiple operating segments that are not individually material, and revenues from Other Bets are generated primarily from the sale of healthcare-related services and internet services.",1648.0
AMAZON COM INC,AMZN,2024,Product/Service disclosure,Online stores,"The 'Online stores' revenue line includes sales to consumers through Amazon's online stores, offering hundreds of millions of unique products sold by Amazon and third parties across dozens of product categories. Customers access these offerings through Amazon's websites and mobile apps.",247029.0
AMAZON COM INC,AMZN,2024,Product/Service disclosure,Third-party seller services,,156146.0
AMAZON COM INC,AMZN,2024,Product/Service disclosure,AWS,,107556.0
AMAZON COM INC,AMZN,2024,Product/Service disclosure,Advertising services,,56214.0
AMAZON COM INC,AMZN,2024,Product/Service disclosure,Subscription services,"Subscription services revenue includes digital media content subscriptions that provide unlimited viewing or usage rights. This encompasses media products available in both physical and digital formats, such as books, videos, games, music, and software.",44374.0
AMAZON COM INC,AMZN,2024,Product/Service disclosure,Physical stores,"Physical stores revenue includes sales to consumers through Amazon's physical retail locations, focusing on selection, price, and convenience across dozens of product categories.",21215.0
AMAZON COM INC,AMZN,2024,Product/Service disclosure,Other,,5425.0
"Meta Platforms, Inc.",META,2024,Family of Apps (FoA),Advertising,"Advertising revenue in the Family of Apps segment is generated by displaying ad products on Facebook, Instagram, Messenger, and third-party mobile applications and websites, with marketers paying based on impressions delivered or user actions such as clicks.",160633.0
"Meta Platforms, Inc.",META,2024,Reality Labs,Reality Labs,"Reality Labs revenue is generated from the delivery of consumer hardware products, such as Meta Quest and Ray-Ban Meta AI glasses, and related software and content, including virtual, augmented, and mixed reality related consumer hardware, software, and content.",2146.0
"Meta Platforms, Inc.",META,2024,Family of Apps (FoA),Other revenue,"Other revenue in the Family of Apps segment includes revenue sources other than advertising, but the specific components of this revenue line are not detailed in the provided information.",1722.0
NVIDIA CORP,NVDA,2025,Compute & Networking,Compute,"The Compute revenue line includes revenue from data center compute platforms for accelerated computing and AI solutions, driven by demand for architectures such as Hopper and Blackwell, and used in applications like large language models, recommendation engines, and generative AI.",102196.0
NVIDIA CORP,NVDA,2025,Compute & Networking,Networking,"The Networking revenue line includes revenue from Data Center networking, which grew 51% driven by Ethernet for AI revenue, including the Spectrum-X end-to-end ethernet platform.",12990.0
NVIDIA CORP,NVDA,2025,Graphics,Gaming,"The Gaming revenue line within the Graphics segment includes revenue from products sold to customers such as AIBs, distributors, ODMs, OEMs, and system integrators. This segment's revenue is driven by the sale of graphics products for gaming applications.",11350.0
NVIDIA CORP,NVDA,2025,Graphics,Professional Visualization,"Professional Visualization revenue includes sales of Ada RTX GPU workstations used for generative AI-powered design, simulation, and engineering.",1878.0
NVIDIA CORP,NVDA,2025,Product/Service disclosure,Automotive,"Automotive revenue for fiscal year 2025 was up 55% from a year ago, driven by sales of our self-driving platforms.",1694.0
NVIDIA CORP,NVDA,2025,Product/Service disclosure,OEM and Other,,389.0
