Company Name,Business segment,Business item,Description of Business item,Textual description of the business item- Long form description,Primary source,Link
Apple Inc.,"Wearables, Home and Accessories","Wearables, Home and Accessories","Wearables, Home and Accessories net sales were $35,686 million in 2025, a 4% decrease from 2024.","Wearables, Home and Accessories is a reported net sales category for Apple Inc. In 2025, net sales for this segment were $35,686 million, representing a 4% decrease compared to 2024, when net sales were $37,005 million.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
Apple Inc.,iPad,iPad,iPad net sales increased during 2025 compared to 2024.,"Japan net sales increased during 2025 compared to 2024 primarily due to higher net sales of iPhone, Services and iPad. The table shows iPad net sales were $28,023 million in 2025, a 5% increase from 2024.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
Apple Inc.,iPhone,iPhone,iPhone net sales increased in 2025 compared to 2024 in multiple regions.,"iPhone is a key product for Apple Inc., with net sales increasing in 2025 compared to 2024 in Japan and the Rest of Asia Pacific. The 2025 Form 10-K shows iPhone sales of $209,586 million, a 4% increase from the previous year.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm
MICROSOFT CORP,More Personal Computing,Windows OEM,"Windows OEM revenue is impacted significantly by the number of Windows operating system licenses purchased by OEMs, which they pre-install on the devices they sell.","Windows OEM revenue is impacted significantly by the number of Windows operating system licenses purchased by OEMs, which they pre-install on the devices they sell. In addition to computing device market volume, Windows OEM revenue is impacted by several factors including device mix, market demand, and pricing changes.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,More Personal Computing,Surface,"Surface is designed to help organizations, students, and consumers be more productive.","We design and sell devices, such as Surface (including Copilot+ PCs) and PC accessories. Surface is designed to help organizations, students, and consumers be more productive.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,More Personal Computing,Xbox Game Pass,Xbox Game Pass is a subscription service and gaming community with access to a curated library of first- and third-party titles.,"These unique gaming experiences are the cornerstone of Xbox Game Pass, a subscription service and gaming community with access to a curated library of first- and third-party titles. The gamer remains at the heart of the Xbox ecosystem.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,More Personal Computing,Bing,Our Microsoft Edge browser and Bing search engine with Copilot are key tools to enable user acquisition and engagement.,"Our Microsoft Edge browser and Bing search engine with Copilot are key tools to enable user acquisition and engagement, while our technology platform enables accelerated delivery of digital advertising solutions.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,More Personal Computing,Copilot,"Microsoft Copilot is a digital companion designed to inform, entertain, and inspire.","Microsoft Copilot is a digital companion designed to inform, entertain, and inspire. Our Microsoft Edge browser and Bing search engine with Copilot are key tools to enable user acquisition and engagement.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,More Personal Computing,Microsoft Edge,Our Microsoft Edge browser and Bing search engine with Copilot are key tools to enable user acquisition and engagement.,"Our Microsoft Edge browser and Bing search engine with Copilot are key tools to enable user acquisition and engagement, while our technology platform enables accelerated delivery of digital advertising solutions.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,Productivity and Business Processes,Microsoft 365 Commercial products and cloud services,"Microsoft 365 Commercial products and cloud services include Microsoft 365 Commercial cloud, comprising Microsoft 365 Commercial, Enterprise Mobility + Security, and other services.","Microsoft 365 Commercial products and cloud services include Microsoft 365 Commercial cloud, comprising Microsoft 365 Commercial, Enterprise Mobility + Security, the cloud portion of Windows Commercial, the per-user portion of Power BI, Exchange, SharePoint, Microsoft Teams, Microsoft 365 Security and Compliance, and Microsoft 365 Copilot; and Microsoft 365 Commercial products, comprising Windows Commercial on-premises and Office licensed on-premises.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,Productivity and Business Processes,Microsoft 365 Consumer products and cloud services,"Microsoft 365 Consumer products and cloud services include Microsoft 365 Consumer subscriptions, Office licensed on-premises, and other consumer services.","Microsoft 365 Consumer products and cloud services include Microsoft 365 Consumer subscriptions, Office licensed on-premises, and other consumer services. Growth depends on our ability to reach new users, add value to our core product set with new features including AI tools, and continue to expand our product and service offerings into new markets.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,Productivity and Business Processes,LinkedIn,"LinkedIn connects the world’s professionals to make them more productive and successful and transforms the way companies hire, market, sell, and learn.","LinkedIn connects the world’s professionals to make them more productive and successful and transforms the way companies hire, market, sell, and learn. In addition to LinkedIn’s free services, LinkedIn offers monetized solutions designed to offer AI-enabled insights and productivity: Talent Solutions, Marketing Solutions, Premium Subscriptions, and Sales Solutions.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
MICROSOFT CORP,Productivity and Business Processes,Dynamics products and cloud services,"Dynamics provides cloud-based and on-premises business solutions for financial management, ERP, CRM, and supply chain management.","Dynamics provides cloud-based and on-premises business solutions for financial management, enterprise resource planning (“ERP”), customer relationship management (“CRM”), and supply chain management, as well as agentic AI and other low code application development platforms, for small and medium businesses, large organizations, and divisions of global enterprises.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/789019/000095017025100235/msft-20250630.htm
Alphabet Inc.,Google Cloud,Google Cloud,"We report our segment results as Google Services, Google Cloud, and Other Bets.","We report our segment results as Google Services, Google Cloud, and Other Bets. Additionally, certain costs are not allocated to our segments because they represent Alphabet-level activities.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm
Alphabet Inc.,Other Bets,Other Bets,"We report our segment results as Google Services, Google Cloud, and Other Bets.","We report our segment results as Google Services, Google Cloud, and Other Bets. The following table presents segment operating income (loss) (in millions), including a line for Other Bets. Additionally, certain costs are not allocated to our segments because they represent Alphabet-level activities.",10-K segment/business description,https://www.sec.gov/Archives/edgar/data/1652044/000165204425000014/goog-20241231.htm
